salary_in_usd,prediction
200000,200340.2601154928
204000,204486.31972232414
330000,204486.31972232414
330000,204486.31972232414
64781,125425.82207856995
80000,171084.65578946256
120000,165933.86608090153
140000,152856.0720105727
53984,111996.15188487696
108000,121829.49744442597
124000,177222.99566212652
260000,177222.99566212652
275000,177222.99566212652
21593,104807.07661560662
32811,138745.650318843
50000,136673.7249243513
120000,166451.09634499063
225000,166451.09634499063
38868,195705.12621813588
64781,164752.43543259185
83900,194166.5384247906
93300,194166.5384247906
136800,194166.5384247906
160000,194166.5384247906
170200,194166.5384247906
180500,189256.95271013165
190000,194166.5384247906
240000,194166.5384247906
360000,194166.5384247906
74087,151900.90037671564
120000,195934.19622151868
20000,98238.15296283297
45896,78445.7495498583
54000,116458.60130623623
258000,177449.93094597734
135000,177594.38188172446
48000,96635.58479342292
73824,182776.42408821086
73824,182776.42408821086
73880,182776.42408821086
85000,132677.49851222773
100000,138172.54026026287
108000,132677.49851222773
115702,138172.54026026287
150000,132677.49851222773
172200,132677.49851222773
50000,137210.26644477554
63000,165870.4917601387
87000,165870.4917601387
95000,165870.4917601387
102663,139077.75286347338
106000,165870.4917601387
115000,165870.4917601387
116990,167419.0516077844
120000,165870.4917601387
127000,165870.4917601387
128000,167419.0516077844
130000,165870.4917601387
134000,167419.0516077844
136743,165870.4917601387
138750,167419.0516077844
140000,167419.0516077844
143860,165870.4917601387
143860,165870.4917601387
147500,165870.4917601387
152900,167419.0516077844
160000,165870.4917601387
160000,167419.0516077844
164100,167419.0516077844
167000,165870.4917601387
169900,167419.0516077844
175000,167419.0516077844
179820,165870.4917601387
180000,167419.0516077844
181500,165870.4917601387
183500,167419.0516077844
185000,167419.0516077844
190000,165870.4917601387
190000,165990.23904854484
205000,165870.4917601387
205300,165870.4917601387
210000,167419.0516077844
215050,165870.4917601387
230000,160458.6510267388
230000,160458.6510267388
235400,167419.0516077844
245000,165870.4917601387
260000,165870.4917601387
267000,165870.4917601387
289800,165870.4917601387
50000,106307.8278120317
67635,150308.69928492152
75000,95575.58206415146
150000,133090.12865132737
213660,163346.7740375484
125000,169978.9574639854
136000,169978.9574639854
136000,169978.9574639854
136000,169978.9574639854
136000,169978.9574639854
149300,169978.9574639854
198000,157010.27126684046
222200,169978.9574639854
249300,169978.9574639854
115100,192061.8740570633
136000,192061.8740570633
136000,192061.8740570633
136000,192061.8740570633
136000,192061.8740570633
136000,192061.8740570633
136000,192061.8740570633
136000,192061.8740570633
136000,192061.8740570633
136000,192061.8740570633
136000,192061.8740570633
136000,192061.8740570633
136000,192061.8740570633
136000,192061.8740570633
141525,187152.28834240435
142000,187152.28834240435
142800,187152.28834240435
145900,192061.8740570633
154000,192061.8740570633
159100,192061.8740570633
163000,187152.28834240435
164000,187152.28834240435
167310,192061.8740570633
172040,187152.28834240435
175000,187152.28834240435
180000,192061.8740570633
184000,187152.28834240435
184000,187152.28834240435
184000,187152.28834240435
184000,187152.28834240435
184000,187152.28834240435
184000,187152.28834240435
192000,187152.28834240435
205000,192061.8740570633
205000,187152.28834240435
212800,192061.8740570633
214000,192061.8740570633
215000,192061.8740570633
216000,187152.28834240435
222200,192061.8740570633
222200,192061.8740570633
222200,192061.8740570633
222200,192061.8740570633
222200,192061.8740570633
222200,192061.8740570633
222200,192061.8740570633
222200,192061.8740570633
222200,192061.8740570633
222200,192061.8740570633
222200,192061.8740570633
222200,192061.8740570633
227700,187152.28834240435
230000,187152.28834240435
248100,192061.8740570633
258800,192061.8740570633
260000,192061.8740570633
260000,192061.8740570633
260000,192061.8740570633
260000,192061.8740570633
260000,192061.8740570633
260000,192061.8740570633
260000,192061.8740570633
309400,192061.8740570633
309400,192061.8740570633
350000,192061.8740570633
100000,141788.1130698808
76000,118456.31143870197
140000,120541.37310103467
160000,120541.37310103467
18381,136377.89509115863
75000,141734.24863420374
112655,141734.24863420374
130800,141734.24863420374
135000,142553.666816628
147000,141734.24863420374
160000,142553.666816628
57000,86485.43583034263
60000,66514.37806544578
100000,94820.9094908137
105066,73415.63913098213
75000,113272.6009306632
76300,113272.6009306632
81500,113272.6009306632
81500,113272.6009306632
128000,113272.6009306632
128000,113272.6009306632
98432,93925.60940205015
106500,125292.19242655256
135000,124373.1257770885
160000,124373.1257770885
167500,125292.19242655256
99703,193818.50267296543
48585,74446.8211446699
161311,149403.71420296276
50000,76805.58876632719
135000,97894.86940994472
78800,106112.17384501678
83339,110557.30454582132
106700,113719.86355588437
120000,110557.30454582132
135000,110557.30454582132
79700,133544.68844569847
80000,133544.68844569847
95000,133584.9690570849
99000,133544.68844569847
112000,132618.62967661425
113000,133544.68844569847
124400,133584.9690570849
124400,133584.9690570849
171050,133584.9690570849
176838,133544.68844569847
194521,133544.68844569847
99000,115860.10495526696
106500,134067.9841109397
140000,117660.69140381718
66825,128881.03397776761
76500,127954.97520868338
76500,132769.27203569436
140000,132769.27203569436
165600,136663.7628867717
185000,136663.7628867717
79600,163978.1094206291
79600,163978.1094206291
79600,163978.1094206291
79600,163978.1094206291
79600,163978.1094206291
100000,163978.1094206291
104300,163978.1094206291
104300,163978.1094206291
104300,163978.1094206291
110200,159823.9387939433
120000,159823.9387939433
139000,163978.1094206291
155000,159823.9387939433
156400,163978.1094206291
156400,163978.1094206291
156400,163978.1094206291
160000,159823.9387939433
185000,163978.1094206291
185000,163978.1094206291
185000,163978.1094206291
185000,163978.1094206291
202800,163978.1094206291
202800,163978.1094206291
202800,163978.1094206291
204300,163978.1094206291
225000,163978.1094206291
225000,163978.1094206291
225000,163978.1094206291
247500,163978.1094206291
247500,163978.1094206291
109238,132234.55280501625
139200,172610.26222763112
259900,172610.26222763112
100000,159629.3180652024
89294,182887.88801016248
115000,168168.0456475833
140000,168168.0456475833
190000,168168.0456475833
58837,66823.60407387582
110736,94758.09816123659
24000,110180.56898281867
175000,189554.6043151977
185000,189554.6043151977
210000,167563.6873653344
245000,167563.6873653344
19073,98711.86319384284
95746,112815.6837509885
118539,215497.5831318941
32974,67332.552293708
34320,88979.65294505964
41833,67332.552293708
42028,69544.19857586068
48000,99775.12007307538
50000,99775.12007307538
50000,52217.768805192485
50000,88979.65294505964
53800,99775.12007307538
53800,99775.12007307538
55000,99775.12007307538
55000,88979.65294505964
61200,99775.12007307538
67000,94402.03878781167
72000,88979.65294505964
75000,99775.12007307538
75000,88979.65294505964
75000,88979.65294505964
81500,88979.65294505964
85000,88979.65294505964
85000,88979.65294505964
85000,88979.65294505964
85256,99775.12007307538
86000,99775.12007307538
92280,67332.552293708
94035,88979.65294505964
94600,99775.12007307538
94600,99775.12007307538
95000,88979.65294505964
100000,99775.12007307538
104000,99775.12007307538
109900,99775.12007307538
111000,99775.12007307538
132600,88979.65294505964
133000,99775.12007307538
150000,88979.65294505964
31520,50340.72541591729
31520,47951.779291919425
36940,75083.90824170329
38868,60790.62565636156
49000,109992.71225984453
49216,82782.33694637266
52500,109992.71225984453
53000,102217.2527508943
55000,102217.2527508943
55368,82782.33694637266
59000,102217.2527508943
59382,62987.965474654244
59500,109992.71225984453
60000,102217.2527508943
61520,82782.33694637266
61520,82782.33694637266
62000,109992.71225984453
64500,109992.71225984453
65000,108330.61864554751
65000,109992.71225984453
65000,102217.2527508943
65000,102217.2527508943
65257,78813.25003672154
66000,102217.2527508943
66100,102217.2527508943
67500,109992.71225984453
67500,109992.71225984453
67672,82782.33694637266
69570,109992.71225984453
70000,109992.71225984453
70600,109992.71225984453
73824,87261.39720346175
73824,82782.33694637266
75000,109992.71225984453
75000,109992.71225984453
75000,102217.2527508943
78000,109992.71225984453
79000,109992.71225984453
79976,82782.33694637266
79976,75083.90824170329
80000,109992.71225984453
80000,102217.2527508943
85000,108330.61864554751
85000,109992.71225984453
85000,109992.71225984453
85000,109992.71225984453
85000,109992.71225984453
85000,102217.2527508943
86128,75114.65559252634
90000,109992.71225984453
90000,109992.71225984453
90000,102217.2527508943
95000,102217.2527508943
95000,102217.2527508943
95400,102217.2527508943
97500,102217.2527508943
98432,82782.33694637266
98432,82782.33694637266
100000,109992.71225984453
100000,109992.71225984453
100000,109992.71225984453
100000,102217.2527508943
100000,102217.2527508943
100000,102217.2527508943
103200,109992.71225984453
104000,109992.71225984453
105000,109992.71225984453
105000,109992.71225984453
105000,102217.2527508943
105320,109992.71225984453
109000,109992.71225984453
110000,109992.71225984453
110000,109992.71225984453
110000,102217.2527508943
110000,102217.2527508943
110000,102217.2527508943
110000,102217.2527508943
115950,109992.71225984453
116000,109992.71225984453
120000,109992.71225984453
120000,109992.71225984453
120000,102217.2527508943
125000,109992.71225984453
131000,109992.71225984453
135000,102217.2527508943
142000,109992.71225984453
149500,102217.2527508943
150000,109992.71225984453
150000,109992.71225984453
150000,109992.71225984453
150000,102217.2527508943
150000,102217.2527508943
160000,109992.71225984453
160000,109992.71225984453
165000,109992.71225984453
206000,109992.71225984453
250000,109992.71225984453
36773,49851.23633372798
39925,49851.23633372798
50000,103679.66643001305
51824,49851.23633372798
51962,124002.14757965633
51962,124002.14757965633
51962,123083.08093019229
52000,124002.14757965633
52500,124002.14757965633
52500,124002.14757965633
55000,123083.08093019229
60000,124002.14757965633
61300,121808.05625201715
61566,89452.25987241183
62000,124002.14757965633
65000,124002.14757965633
65000,124002.14757965633
65000,123083.08093019229
66000,124002.14757965633
67672,89452.25987241183
67672,89452.25987241183
68400,123083.08093019229
70000,124002.14757965633
70000,124002.14757965633
70000,124002.14757965633
70000,124002.14757965633
70000,124002.14757965633
70000,123083.08093019229
70186,89452.25987241183
71786,116589.3872199057
72000,123083.08093019229
72000,123083.08093019229
72250,123083.08093019229
73100,124002.14757965633
75000,124002.14757965633
75000,124002.14757965633
75000,124002.14757965633
75000,123083.08093019229
75000,123083.08093019229
78000,124002.14757965633
78400,123083.08093019229
79981,89452.25987241183
80000,124002.14757965633
80000,124002.14757965633
80000,124002.14757965633
80000,124002.14757965633
80000,124002.14757965633
80000,123083.08093019229
80000,123083.08093019229
80000,123083.08093019229
81666,123083.08093019229
81666,123083.08093019229
81666,123083.08093019229
81800,125228.65826669111
81900,124002.14757965633
81900,123083.08093019229
82200,123083.08093019229
83000,123083.08093019229
85000,124002.14757965633
85000,124002.14757965633
85000,124002.14757965633
85000,124002.14757965633
85000,123083.08093019229
85500,124002.14757965633
87500,124002.14757965633
89200,123083.08093019229
90000,124002.14757965633
90000,124002.14757965633
90000,123083.08093019229
90000,123083.08093019229
90000,123083.08093019229
90320,124002.14757965633
90320,123083.08093019229
90320,123083.08093019229
91800,123083.08093019229
92000,123076.0888105721
93700,123083.08093019229
93919,123083.08093019229
94000,123083.08093019229
95000,124002.14757965633
95000,124002.14757965633
95000,124002.14757965633
95000,124002.14757965633
95000,121808.05625201715
95000,123083.08093019229
95000,123083.08093019229
95000,123083.08093019229
95000,123083.08093019229
95000,123083.08093019229
96000,123083.08093019229
99000,124002.14757965633
99000,124002.14757965633
99450,123083.08093019229
99750,123083.08093019229
100000,124002.14757965633
100000,124002.14757965633
100000,124002.14757965633
100000,124002.14757965633
100000,120273.2361150607
100000,123083.08093019229
100500,124002.14757965633
102500,123083.08093019229
102586,89452.25987241183
103200,124002.14757965633
103200,124002.14757965633
104000,123083.08093019229
104300,124002.14757965633
105000,124002.14757965633
105000,123083.08093019229
105320,124002.14757965633
106000,124002.14757965633
106000,123083.08093019229
106020,124002.14757965633
106400,125228.65826669111
106800,124002.14757965633
106800,124002.14757965633
107500,123083.08093019229
107500,123083.08093019229
108000,124002.14757965633
108000,123083.08093019229
109280,123083.08093019229
109600,123083.08093019229
110000,124002.14757965633
110000,124002.14757965633
110000,124002.14757965633
110000,120273.2361150607
110000,123083.08093019229
110000,123083.08093019229
110000,123083.08093019229
110600,124002.14757965633
110600,124002.14757965633
110600,124002.14757965633
110600,124002.14757965633
110600,124002.14757965633
110600,124002.14757965633
110600,124002.14757965633
110925,123083.08093019229
112000,123083.08093019229
112200,123083.08093019229
112900,123083.08093019229
112900,123083.08093019229
113000,123083.08093019229
115000,123083.08093019229
115000,123083.08093019229
115934,124002.14757965633
115934,123083.08093019229
115934,123083.08093019229
116000,123083.08093019229
117500,123083.08093019229
118000,123083.08093019229
118600,124002.14757965633
119000,124002.14757965633
119800,123083.08093019229
120000,124002.14757965633
120000,124002.14757965633
120000,123083.08093019229
120250,123083.08093019229
120350,124002.14757965633
120350,123083.08093019229
121700,124002.14757965633
122500,123083.08093019229
123040,89452.25987241183
125000,124002.14757965633
125000,124002.14757965633
125000,123083.08093019229
125000,123083.08093019229
125600,123083.08093019229
126500,124002.14757965633
127000,124002.14757965633
128000,124002.14757965633
130000,124002.14757965633
130000,123083.08093019229
130000,123083.08093019229
131000,124002.14757965633
131325,123083.08093019229
131650,124002.14757965633
132000,124002.14757965633
132000,123083.08093019229
134200,125228.65826669111
134200,124002.14757965633
135000,124002.14757965633
135000,123083.08093019229
135000,123083.08093019229
136000,123083.08093019229
136000,123083.08093019229
137000,123083.08093019229
138000,123083.08093019229
139600,124002.14757965633
139600,124002.14757965633
140000,124002.14757965633
140000,124002.14757965633
140000,124002.14757965633
140000,124002.14757965633
140000,123083.08093019229
140000,123083.08093019229
140000,123083.08093019229
140000,123083.08093019229
142000,124002.14757965633
142000,123083.08093019229
143000,121808.05625201715
143520,124002.14757965633
144000,123083.08093019229
144100,124002.14757965633
145000,124002.14757965633
145000,124002.14757965633
145000,123083.08093019229
148000,124002.14757965633
150000,124002.14757965633
150000,124002.14757965633
150000,124002.14757965633
150000,124002.14757965633
150000,124002.14757965633
150000,123083.08093019229
150000,123083.08093019229
150000,123083.08093019229
150000,123083.08093019229
150000,123083.08093019229
150075,123083.08093019229
153800,123083.08093019229
155000,125228.65826669111
156000,124002.14757965633
160000,124002.14757965633
160000,123083.08093019229
164000,124002.14757965633
166000,124002.14757965633
166500,124002.14757965633
168000,123083.08093019229
169000,124002.14757965633
169000,124002.14757965633
169000,124002.14757965633
170000,123083.08093019229
170500,123083.08093019229
171000,124002.14757965633
172800,120273.2361150607
175000,124002.14757965633
175000,121808.05625201715
175000,123083.08093019229
175000,123083.08093019229
175000,123083.08093019229
177000,123083.08093019229
180000,124002.14757965633
180000,123083.08093019229
185000,124002.14757965633
185900,124002.14757965633
185900,124002.14757965633
185900,124002.14757965633
186600,123083.08093019229
192000,123083.08093019229
192000,123083.08093019229
192000,123083.08093019229
192500,123083.08093019229
195000,123083.08093019229
200000,124002.14757965633
200000,124002.14757965633
202800,124002.14757965633
204500,124002.14757965633
206000,124002.14757965633
206500,123083.08093019229
207611,123083.08093019229
208049,124002.14757965633
208450,123083.08093019229
213210,123083.08093019229
216200,124002.14757965633
223602,124002.14757965633
230000,123083.08093019229
236600,123083.08093019229
385000,124002.14757965633
20000,111118.75621580958
135000,113094.76684024472
123040,148575.4440457932
110000,139444.26797135553
110000,139444.26797135553
125000,139444.26797135553
155000,139444.26797135553
155000,139444.26797135553
155000,139444.26797135553
155000,139444.26797135553
133000,164496.45094100095
140000,148839.26184176252
160000,148839.26184176252
204500,152330.5491680523
155000,176810.90889272589
180000,176810.90889272589
86128,95534.17530199185
100000,138172.54026026287
135000,138172.54026026287
140000,137805.46027714055
140000,137805.46027714055
150000,137805.46027714055
150000,137805.46027714055
167500,138172.54026026287
63000,166619.4857999376
90000,166619.4857999376
90700,166739.23308834372
92000,146656.98524369678
92280,105128.38278606339
105200,166619.4857999376
107500,166739.23308834372
110000,168168.0456475833
113000,166619.4857999376
115000,168168.0456475833
120000,166619.4857999376
125000,168168.0456475833
125600,166619.4857999376
128000,166619.4857999376
134000,166619.4857999376
135000,168168.0456475833
138000,146656.98524369678
144854,168168.0456475833
147100,166619.4857999376
149040,168168.0456475833
149040,168168.0456475833
150000,166619.4857999376
150000,168168.0456475833
159500,166619.4857999376
168100,168168.0456475833
170000,168168.0456475833
174500,166619.4857999376
174500,166619.4857999376
174500,166619.4857999376
174500,166619.4857999376
174500,166619.4857999376
175000,166619.4857999376
175000,168168.0456475833
180000,168168.0456475833
185000,166619.4857999376
185000,166619.4857999376
186000,166619.4857999376
188500,168168.0456475833
188500,168168.0456475833
190000,166739.23308834372
190000,168168.0456475833
190000,168168.0456475833
192400,166739.23308834372
192564,168168.0456475833
195400,168168.0456475833
198000,168168.0456475833
200000,168168.0456475833
200000,168168.0456475833
204000,168168.0456475833
204000,168168.0456475833
206000,166619.4857999376
206000,166619.4857999376
206000,166619.4857999376
206000,168168.0456475833
210000,168168.0456475833
213120,168168.0456475833
215000,168168.0456475833
228000,166619.4857999376
230400,166619.4857999376
250000,166619.4857999376
250500,166619.4857999376
274450,166619.4857999376
280100,168168.0456475833
280100,168168.0456475833
306000,168168.0456475833
345600,166619.4857999376
41027,57112.07172641686
45390,72927.33397735821
52500,130108.21493967115
52500,130108.21493967115
55475,62893.77466141749
59888,56208.47159674995
65000,130108.21493967115
65000,130108.21493967115
65000,125338.07862091405
80000,125338.07862091405
85000,130108.21493967115
85000,130108.21493967115
90000,130108.21493967115
125000,130108.21493967115
130002,125338.07862091405
135000,130108.21493967115
135000,130108.21493967115
135000,130108.21493967115
160000,130108.21493967115
160000,130108.21493967115
71908,177594.38188172446
100000,172996.689102927
110000,172996.689102927
110000,172996.689102927
113000,172996.689102927
113000,172996.689102927
115000,172996.689102927
116100,177594.38188172446
130002,177594.38188172446
135344,105993.44569308248
145000,172996.689102927
160000,172996.689102927
160000,172996.689102927
180500,172996.689102927
194500,172996.689102927
200000,172996.689102927
200000,177594.38188172446
205000,172996.689102927
205785,146227.869319061
207000,177594.38188172446
210000,177594.38188172446
210600,177594.38188172446
220000,172996.689102927
236000,177594.38188172446
239000,177594.38188172446
242000,177594.38188172446
257400,177594.38188172446
265000,172996.689102927
265800,177594.38188172446
284000,177594.38188172446
324000,177594.38188172446
20000,121990.27979265459
26005,90990.8111567695
28016,124250.02767287749
39372,86586.83722809181
43064,81136.31750539242
43187,60006.01524598037
49216,86586.83722809181
51824,65429.977740525
52500,138172.54026026287
55410,81136.31750539242
57700,138172.54026026287
60000,79613.16308419654
63980,81136.31750539242
65000,138172.54026026287
65141,65429.977740525
66022,111990.75041237686
67056,86586.83722809181
67723,81136.31750539242
67723,81136.31750539242
70000,138172.54026026287
70000,137805.46027714055
70000,137805.46027714055
70000,137805.46027714055
70139,65429.977740525
70748,86586.83722809181
70748,86586.83722809181
70748,86586.83722809181
72000,79597.74988637592
72593,86586.83722809181
73100,138172.54026026287
73400,138172.54026026287
73546,66956.37642352848
73824,86586.83722809181
74130,73303.1753467323
75000,138172.54026026287
75000,137805.46027714055
75577,62863.941539158426
76000,137805.46027714055
76284,81136.31750539242
79178,86049.82846775558
80000,138172.54026026287
80000,101257.63056129256
80036,81136.31750539242
82452,138172.54026026287
85000,138172.54026026287
86128,86586.83722809181
86128,98642.27717477773
86193,81136.31750539242
90000,138172.54026026287
90000,138172.54026026287
90000,137805.46027714055
91000,138172.54026026287
92350,81136.31750539242
92350,81136.31750539242
95000,138172.54026026287
95000,138172.54026026287
95000,138172.54026026287
95000,138172.54026026287
95000,137805.46027714055
100000,138172.54026026287
100000,138172.54026026287
100000,137805.46027714055
100000,137805.46027714055
100000,137805.46027714055
102200,139788.43832525678
103000,138172.54026026287
104584,86586.83722809181
105000,138172.54026026287
105400,138172.54026026287
106500,138172.54026026287
106500,138172.54026026287
109000,137805.46027714055
110000,138172.54026026287
110000,138172.54026026287
110000,138172.54026026287
111400,138172.54026026287
113923,137805.46027714055
114000,137805.46027714055
115000,137805.46027714055
118000,137805.46027714055
120000,138172.54026026287
120000,138172.54026026287
120000,138172.54026026287
120000,138172.54026026287
120000,137805.46027714055
120000,137805.46027714055
125000,138172.54026026287
128000,138172.54026026287
128000,138172.54026026287
130000,138172.54026026287
130000,138172.54026026287
131000,95657.82289365448
132000,137805.46027714055
133000,138172.54026026287
135000,138172.54026026287
140000,138172.54026026287
